dataset,model,folds,auc_mean,auc_sample_std,acc_mean,acc_sample_std,window_auc_mean,window_auc_sample_std,window_acc_mean,window_acc_sample_std,calibration_status,evidence_tier
assist2009_corrected_collapsed,acekt,5,0.845685,0.000872,0.779969,0.00103,0.846436,0.001241,0.779968,0.001308,not_materialized_in_matrix,v16_strict_5of5
assist2009_corrected_collapsed,akt,5,0.840313,0.00102,0.777064,0.001267,0.841987,0.001063,0.778485,0.001224,not_materialized_in_matrix,v16_strict_5of5
assist2009_corrected_collapsed,dkt,5,0.825756,0.001019,0.768648,0.001041,0.826537,0.000987,0.76912,0.000758,not_materialized_in_matrix,v16_strict_5of5
assist2009_corrected_collapsed,dkt+,5,0.825614,0.000588,0.76923,0.000781,0.826391,0.000529,0.769578,0.000665,not_materialized_in_matrix,v16_strict_5of5
assist2009_corrected_collapsed,sakt,5,0.795565,0.00166,0.748478,0.002482,0.780229,0.015777,0.739884,0.009758,not_materialized_in_matrix,v16_strict_5of5
assist2009_corrected_collapsed,simplekt,5,0.840088,0.001059,0.776476,0.001133,0.839497,0.001236,0.776125,0.000954,not_materialized_in_matrix,v16_strict_5of5
assist2009_corrected_collapsed,ukt,5,0.848004,0.001405,0.781122,0.000806,0.849608,0.001323,0.782453,0.000962,not_materialized_in_matrix,v16_strict_5of5
assist2012,akt,5,0.779282,0.000552,0.757258,0.000853,0.780863,0.000547,0.758163,0.000822,not_materialized_in_matrix,v16_strict_5of5
assist2012,dkt,5,0.730352,0.000212,0.734183,0.000205,0.731599,0.000228,0.734822,0.000188,not_materialized_in_matrix,v16_strict_5of5
assist2012,dkt+,5,0.73171,0.00042,0.734358,0.000365,0.733006,0.000414,0.734999,0.00039,not_materialized_in_matrix,v16_strict_5of5
assist2012,sakt,5,0.707173,0.001031,0.724079,0.00056,0.706969,0.001142,0.724056,0.000465,not_materialized_in_matrix,v16_strict_5of5
assist2012,simplekt,5,0.773878,0.000295,0.750971,0.001224,0.774774,0.000307,0.751877,0.001032,not_materialized_in_matrix,v16_strict_5of5
assist2015,acekt,5,0.725765,0.000276,0.750363,0.000186,0.725949,0.000294,0.750499,0.000143,not_materialized_in_matrix,v16_strict_5of5
assist2015,akt,5,0.725735,0.000952,0.751355,0.000508,0.725897,0.00093,0.751367,0.000438,not_materialized_in_matrix,v16_strict_5of5
assist2015,dkt,5,0.726861,0.000479,0.750645,0.000322,0.726927,0.000474,0.750569,0.000312,not_materialized_in_matrix,v16_strict_5of5
assist2015,dkt+,5,0.728353,0.000729,0.751046,0.000339,0.728392,0.000718,0.750966,0.000316,not_materialized_in_matrix,v16_strict_5of5
